CONTRACT_ID|PLAN_ID|RXCUI|DISEASE
H5050|023|795085|ARTHRITIS, RHEUMATOID
H5050|023|795085|CROHN DISEASE
H5050|023|795085|SPONDYLARTHRITIS
H5050|023|795085|SPONDYLITIS, ANKYLOSING
H5050|023|848164|ARTHRITIS, PSORIATIC
H5050|023|848164|COLITIS, ULCERATIVE
H5050|023|848164|SPONDYLITIS, ANKYLOSING
H5050|023|849599|ARTHRITIS, PSORIATIC
H5050|023|849599|ARTHRITIS, RHEUMATOID
H5050|023|849599|CROHN DISEASE
H5050|023|849599|SPONDYLARTHRITIS
H5050|023|849599|SPONDYLITIS, ANKYLOSING
